PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
94502,2023-03-29,19:51:08,00:04,0.0,0.4,70496,408552624,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94507,2023-03-29,19:51:08,00:04,0.0,0.1,18144,408551280,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94502,2023-03-29,19:51:09,00:05,0.0,0.4,70496,408552624,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94507,2023-03-29,19:51:09,00:05,0.0,0.1,18144,408551280,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94502,2023-03-29,19:51:10,00:06,0.0,0.4,70496,408552624,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94507,2023-03-29,19:51:10,00:06,0.0,0.1,18144,408551280,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94502,2023-03-29,19:51:11,00:07,0.0,0.4,70528,408552624,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94507,2023-03-29,19:51:11,00:07,0.0,0.2,28528,408560816,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94502,2023-03-29,19:51:12,00:08,0.0,0.4,70528,408552624,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
94507,2023-03-29,19:51:12,00:08,0.0,0.2,28528,408560816,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --loglevel=info --without-gossip --without-mingle
