PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
67673,2023-03-31,13:11:21,00:06,0.0,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:22,00:07,0.2,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:23,00:08,0.0,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:24,00:09,0.0,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:25,00:10,0.0,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:26,00:11,0.1,0.5,76464,409117360,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:27,00:12,0.3,0.5,77744,409232768,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:28,00:13,0.0,0.5,77744,409232768,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:29,00:14,0.0,0.5,77744,409232768,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
67673,2023-03-31,13:11:30,00:15,0.0,0.5,77744,409232768,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=16 --pool=gevent --loglevel=info --without-gossip --without-mingle
