PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
83508,2023-03-31,14:24:50,00:18,0.0,0.4,70864,408694960,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83516,2023-03-31,14:24:50,00:18,0.0,0.1,19872,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83518,2023-03-31,14:24:50,00:18,0.0,0.1,17648,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83519,2023-03-31,14:24:50,00:18,0.0,0.1,17456,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83520,2023-03-31,14:24:50,00:18,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83508,2023-03-31,14:24:51,00:19,0.0,0.4,70864,408694960,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83516,2023-03-31,14:24:51,00:19,0.0,0.1,19872,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83518,2023-03-31,14:24:51,00:19,0.0,0.1,17648,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83519,2023-03-31,14:24:51,00:19,0.0,0.1,17456,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83520,2023-03-31,14:24:51,00:19,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83508,2023-03-31,14:24:52,00:20,0.0,0.4,70864,408694960,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83516,2023-03-31,14:24:52,00:20,0.0,0.1,19872,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83518,2023-03-31,14:24:52,00:20,0.0,0.1,17648,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83519,2023-03-31,14:24:52,00:20,0.0,0.1,17456,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83520,2023-03-31,14:24:52,00:20,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83508,2023-03-31,14:24:53,00:21,0.0,0.4,70864,408694960,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83516,2023-03-31,14:24:53,00:21,0.0,0.1,19872,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83518,2023-03-31,14:24:53,00:21,0.0,0.1,17648,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83519,2023-03-31,14:24:53,00:21,0.0,0.1,17456,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83520,2023-03-31,14:24:53,00:21,0.0,0.1,17552,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83508,2023-03-31,14:24:54,00:22,0.0,0.4,70864,408694960,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
83516,2023-03-31,14:24:54,00:22,0.0,0.1,19872,408683376,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=prefork --loglevel=info --without-gossip --without-mingle
